INPUT:id	INPUT:text	OUTPUT:id	OUTPUT:plot	OUTPUT:image	OUTPUT:music	OUTPUT:actors	OUTPUT:plot_score	OUTPUT:image_score	OUTPUT:music_score	OUTPUT:actors_score	HINT:text
93942_2	"Фильм... на любителя! Качество и озвучка героев на 5+
Игра актеров,кое-где переигрывают ,либо наоборот не доигрывают.Сюжет у фильма не плохой,но можно было сделать и побольше.Я бы сравнил по сюжету с ""Техасская резня бензопилой "".Полазил по инету и правда,сюжет на реальных событиях.Есть минусы... это тупость этих сирот. Спецэффектов не хватает,например 1 смерть: ее по частям разорвало,а на кровати куски мяса,схожие с бифштексом,может она и сладка снаружи,но изнутри?"		yes	yes	no	yes	neut	neg		neut	
94011_1	"Фильм неплохо подходит для фона,когда ты делаешь что-то интересное сам у себя дома. Фильм не очень интересный, сюжет уже забитый и предсказуемый. Спецэффекты слишком неестественные, некоторые даже вызывает недоумение и смех. Порадовало то, что есть парочка красивых актеров, которые в принципе и сыграли неплохо. Но с сюжетом ""японской девочки с длинными черными волосами"" в этой стране есть фильмы лучше."		yes	no	no	yes	neut			pos	
93644_2	А вот мне фильм очень понравился,но очень грустно,навивает уныние,что люди живут не из любви друг к другу,а из-за страха что то менять,Так вот можно всю жизнь с сисястой с порепоным лицом Варнавой и зацикленным на себе спортсменом прожить,И упустить самое главное свою любовь,В кино конечно хэппи энд,а вот в жизни так и живут от привычки друг к другу,а не по любви,Вообщем для меня это не комедия,а драма,рыдала весь фильм,глаза опухли,А те кто пишет,что не досмотрел и предсказуемо,учитесь читать между строк,не нужно плавать на поверхности ищите смысл глубже,Вообщем живите с любимыми и единственными и не насилуйте себя,если любовь прошла нужно отваливать!		no	no	no	no					
94003_0	Рассказывать сюжет не буду. Рекомендую посмотреть. На мой взгляд, отличный захватывающий триллер в европейском стиле. Не считаю (как ранее было отмечено), что сюжет &quot;так себе&quot;. Совсем наоборот. Не так много хороших триллеров. Этот , я бы сказал, замечательный. Смутило только,что уж очень такие  догадливые полицейские, на ходу просчитывающие все действия и мысли преступников (даже самые дурацкие - езда без включенных фар). Просто методы какие-то сверхдедукции. Как в кино,одним словом :-).		yes	no	no	no	pos				
93821_0	"Фильм оставил ощущение удивительной легкости и цельности – посмотрела буквально на одном дыхании! Много довольно забавных шуток, причем почти без пошлости;) В общем и целом – под фильм можно хорошо отдохнуть, подняв себе настроение.
Порадовала игра актеров. Среди второстепенных персонажей нельзя не отметить Дмитрия Нагиева – невероятно достоверно удался ему его отрицательный персонаж! По-настоящему веришь, что где-то живет такой вот отвратительный (во всех отношениях) дядька, которому, однако, не чуждо и что-то человеческое – жену-то свою он любит! 
Атмосфера любви вообще довольно хорошо ощущается в этой картине – весь сеанс меня преследовало желание обнять близкого человека и сказать о том, как он мне дорог. А ведь для чего еще нужны всевозможные произведения искусства, если не для пробуждения в душе человека подлинных чувств?
Не могу не сказать пару слов про пресловутый product placement в этом фильме, которым так «славится» наше кино. Во-первых, в фильме его совсем немного. И никаких «О, ты пьешь Нескафе? Отличный вкус, отличное начало!»)) Во-вторых, на этот раз создателям удалось хотя бы более-менее органично вставить его в картину, а не просто снять лого на здании или форменной фуражке крупным планом... Раз уж без этого российский фильм не сделать коммерчески успешным, то пусть хоть исполнено это будет профессионально и ненавязчиво! 
И, наверное, более придирчиво стоит подходить к выбору партнеров – например, отдавать предпочтение брендам, у которых есть своя «фишка». В фильме таковым мне показался «Теремок» с его очаровательным (хоть и немножко старомодным) приветствием-обращением к посетителям «сударь». Еще, кстати, очень, фактурный у них получился теремковский повар Глобус – милый, хоть и комичный, улыбнул) 
Ужасно мне понравилась фраза «женщина ничего не должна, кроме как быть красивой, растить детей и не путаться у мужчины под ногами, когда он готовит шашлык»! Наивно и банально? Но ведь точно, если вдуматься! Именно этого мы и хотим – чувствовать себя защищенной, знать, что ты не одна, а большинство твоих проблем поможет решить умный и сильный – любимый! -  мужчина. 
Именно такого мужчину и сыграл Александр Олешко – не зря он говорил в одной из заметок о фильме, что старался создать образ нового героя современного российского кино – причем не какого-нибудь мачо, принца или Терминатора, а просто сильного и надежного Мужчины – мужчины с гарантией "		no	no	no	yes				pos	
93652_5	"Двоякое впечатление оставляет фильм. С одной стороны Лиза, оценивающая душу, с другой, хабалка Вика. Не смотря на свою добродетель, Лиза тем не менее, ""смотрит"" на Вику свысока. Кто они, народ, без рода без племени и кто мы, интеллигентные, образованные люди. В фильме достаточно жестко привязали провинцию к типажу Вики.  И достаточно жестко, в лице Лизы определили Питер. Вырыли ров между ""образованным"" центром и дикой, нищей, не смыслящей в высоком искусстве, провинцией. Игра актеров, атмосфера, на все 10 баллов. Характер фильма на 3."		no	no	no	yes				pos	
93566_0	"Короче говоря, молчание – золото. Люди, часто очень много говорят, не придавая особого значения словам. Но, что если у вас в запасе будет всего несколько десятков слов, которыми вы сможете ограничиваться? Что же тогда? Как вы будете ими распоряжаться? Именно такая идея и преследуется в фильме [Тысяча слов]. 

Вкратце говоря, данный фильм расскажет о большем трепаче Джейке Макколе [Эдди Мерфи]. Его работой заключается убалтывание людей на подписание с ним контрактов. В один из дней у него во дворе появляется дерево, с которым он оказывается связан. Каждое его слово, это еще один упавший лист с ветки дерева. И вот тут то и начинается самое интересное, ведь как гласит слоган: «У него есть только тысяча слов, чтобы узнать самое главное».

В целом, кино является комедией, в котором сокрыт весьма интересный замысел. Сюжетная линия интересна и заставляет проявлять у зрителя чувство сострадания к главному герою. Попутно заставляя задуматься о том, как бы ты сам действовал в такой ситуации. Комическую составляющую фильму придает, конечно же, Эдди Мерфи. Данный актер талантлив и его роли в фильмах, как заставляют тебя смеяться, так и плакать. Персонажей в фильме не так много, и в основном раскрыться дается лишь главному герою. Но актерская игра остального состава, тоже не плоха. 

Итого говоря, фильм мне понравился. Он очень душевный и дает проникнуться зрителю в свою историю. Рекомендую к просмотру. Наслаждайтесь."		yes	no	no	yes	pos			pos	
93644_0	Фильм мне очень понравился.  Первый раз смотрела в кинотеатре, когда фильм только вышел в прокат,он оставил у меня очень положительные впечатления!  Добрая романтическая комедия. Действительно у нас сейчас очень мало таких фильмов. На мой взгляд все получилось удачно: и сюжет,и актеры просто идеально сыграли свои роли.Переодически пересматриваю с  большим удовольствием. Побольше бы таких добрых фильмов!		yes	no	no	yes	pos			pos	
93942_3	Такое впечатление,что ближе к концу фильма,не хватило сообразительности как закончить сценарий,конец просто туп,такое впечатление что начинал писать его отец,потом от страха помер,а конец дописывал его сынок первоклашка,вот так и получилось.Да и наши тоже поддержали-озвучка просто супер,где только нашли таких актеров,от их голосов просто тошнит,и уже только от этого фильм смотреть не хочется........		yes	no	no	yes	neg			neg	
94005_1	"В общем история такая... Есть Бобби и Кейт. Бобби - канадец в Нью-Йорке. Кейт - из семьи  то ли мексиканцев, то ли кубинцев. У нее большая семья, брат умер, а у дяди проблемы с памятью. Бобби - музыкант, Кейт танцует. Они вместе 10 месяцев. Почти 3 из них Кейт беременна. Они еще не решили что с этим делать, поэтому никому и не говорят... Работы нет, перспективы туманные...
В один прекрасный день (4 июля) они садятся в такси и находят там телефон. Бобби начинает обзванивать частые контакты, оставляет свои данные, чтобы хозяин мог его найти. И он находит, говорит, что скоро подъедит за телефоном, будет в красной куртке. Через некоторое время звонит еще один &quot;хозяин&quot; телефона, а когда приходит первый претендент, он получает пулю в спину. На телефон приходит сообщение: &quot;Готов купить телефон за $500 000&quot;, а следом за этим Бобби опять звонит кто-то с угрозами. Вот такой замес...
Вполне бодрое должно получиться кино. Ведь так? Так. Напряжение сохраняется... Но есть одно но... Большое но... И поначалу это дикий плюс. 
Ох...
Фильм начинается с неплохого малопонятного пространного диалога обо всем. А потом Кейт и Бобби бросают монетку и разбегаются. И вот тут все начинается. Есть два пути: желтый и зеленый. Желтый путь - путь к телефону и проблемам, зеленый - путь к домашним посиделкам и семейной рутине. И оба сюжета развиваются параллельно. И путаницы нет. И снято все хорошо. И продумано все неплохо. И каждая из этих историй могла бы стать шикарным фильмом. Но вместе это так затянуто. Фильм идет час сорок, и часа не пройдет, а уже сидишь и ждешь развязки. Ритм сбивается с погонь и перестрелок на застолье и разговоры. Причем ближе к концу это так нарочито и вычурно... Вот мы убегаем от убийцы, а могли бы на травке сидеть!
Мне нравится идея. Но что-то не срослось... Экшон должен быть экшоном, мыло должно быть мылом!
В начале меня порадовал оператор, хотя я и не в восторге от крупных планов. Монтаж специфический, не всем такое нравится. Мне нравится. Музыкальное сопровождение приятное. Цветовые решения тоже к месту: не дают запутаться в цветах историй. Будь это два отдельных фильма, мне бы понравились оба. Но вместе это как-то перебор. И получается, что по отдельности мне нравится почти все, а вместе как то не цепляет. Скука!
P.S. С чем сравнивать? Не знаю. Идея не самая новая, но ничего в голову не приходит. С &quot;Помни&quot; Кристофера Нолана (США, 2000). И то только из-за манеры повествования."		yes	yes	yes	no	neut	pos	pos		
