INPUT:id	INPUT:text	OUTPUT:id	OUTPUT:plot	OUTPUT:image	OUTPUT:music	OUTPUT:actors	OUTPUT:plot_score	OUTPUT:image_score	OUTPUT:music_score	OUTPUT:actors_score	GOLDEN:id	GOLDEN:plot	GOLDEN:image	GOLDEN:music	GOLDEN:actors	GOLDEN:plot_score	GOLDEN:image_score	GOLDEN:music_score	GOLDEN:actors_score	HINT:text
106242_1	В жизни мы все идем на компромиссы, мы меняем себя, чтобы жить так, как живут другие люди. Мы покупаем вещи, которые нам не нужны, соблюдаем установленные бестолковые правила, чтобы не казаться хуже других, и не задумываемся, что нам нужно на самом деле. Мы глушим чувство гадливости в себе, когда отворачиваемся от несправедливости, нам проще отвернуться, закрыть глаза и уши, чтобы не видеть и не слышать страдании других людей. Мы стремимся получить удовольствие от предметов, пользуем людей, хапаем, хватаем, даже если знаем, что истинное удовольствие, в том чтобы отдавать, а брать. Общество зашло так далеко в своем эгоизме, что люди, радеющие за других, воспринимаются как блаженные, сумасшедшие, аутисты. Благодарность, капелька человеческого тепла согреет человека больше, чем норковая шуба, отогреет замерзшую человеческую душу, даст почувствовать живым. Человек рожден чтобы ярко, больно, сильно чувствовать, а не для того чтобы кормить свою душу жалкими полуфабрикатами, затасканными переживаниями, потертыми чувствами, приевшимися ощущениями. Этот фильм о жизни, о настоящей жизни настоящего человека.	106242_1	yes	yes	no	no	pos	pos	neut	neut										
98558_1	"Очень неоднозначный фильм. Как он попал в мой список просмотра — непонятно даже мне. История столь безумна, сколь и жестока. Но вместе с тем наивна и притягательна. Разберу фильм на плюсы-минусы, чтобы разобраться в своем внутреннем восприятии этого произведения:

+ Потрясающее музыкальное сопровождение, которое не только потрясающе гармонировало с тем, что происходит на экране, но иногда наоборот, потрясающе дисгармонировало с событиями фильма. Так песня Бритни Спирс, такая нежная и лиричная, просто потрясающе смотрится на фоне картинок насилия и жестокости, настоящая антитеза жизни

+ Восхитительная драматическая работа над ролью Джеймса Франко, который изменился до неузнаваемости, не сразу и поймешь, кто играет главную мужскую роль в фильме

+ Обезличенность главных героинь — они светленькие, глупенькие, жестокие и распущенные, к концу фильма я так и не научилась их различать. Они стали не простым образом, а собирательным типом девушки: наглой, жестокой, без тормозов и нраственных принципов

+ Работа костюмеров. Я просто в восторге от некоторых деталей одежды персонажей, как например розовые маски с пони на героинях во время разбойных налетов, которые так естественно гармонируют с молодостью и красотой девушек и в то же время дисгармонируют с жестокостью и насилием

+ Ощущение дисгармонии на протяжении всего фильма, насилие соседствует с добротой, нежность рядом с жестокостью, ложь с правдой, любовь с извращениями, и это смотрится рядом просто великолепно

+ Монологи и внутренние размышления, а также диалоги, ни одного лишнего или непродуманного слова, все на своих местах

+ Съемки, нет лишних крупных планов, даже в съемке вечеринок, которые смотрятся достаточно ярко и органично

+ Финал, именно так и должно было все закончиться.

- Излишек сцен сексуальных девиаций, это, конечно, основа фильма, но их слишком много

- Кадры, сделанные как будто на старую пленку, они полностью лишают фильм ощущения реальности, они лишние

- Образ героини Веры, непонятный и непроработанный. Она показана верующей, умной, как она вообще попала в такую компанию совсем непонятно, и в некоторых сценах она ведет себя совсем не так, как от нее требует сложившийся образ."	98558_1	yes	yes	yes	yes	neg	neg	pos	neut										
100132_0	"Фильм Стенли Кубрика ""Сияние"",вышедший еще в 1980 году,выдался довольно противоречивым. Конечно, такой мастер своего дела,как Кубрик просто не мог снять плохое кино,но действительно ли ""Сияние"" настолько хорошее,насколько о нем говорят?
Сперва хотелось бы сразу отметить,что далее данный фильм,снятый по мотивам одноименного произведения С.Кинга, не будет рассматриваться только как самостоятельная картина.
С самого начала ""Сияние"" погружает нас в атмосферу таинственности и загадочности,демонстрируя нам Денни,разговаривающего со своим воображаемым другом Тони. И тут же стоит сказать,что сцены вхождения мальчика в транс, его диалоги с Тони показаны довольно странно и отталкивающе даже для такого кино,как ""Сияние"".Дело даже не в расхождении видения режиссера и автора книги,а в том, что показанное попросту не располагает зрителя к персонажу,а заставляет его чувствовать дискомфорт и некоторое недопонимание.Антураж, в целом, действительно нагнетает и внушает ощущение изолированности и неотвратимости событий, его отлично дополняет и музыка,прекрасно передающая зловещесть ""Оверлука"" и чувство,что с этим местом связано множество ужасных вещей. К слову, ""натуру"" отеля фильм иллюстрирует немного поверхностно и сжато,ведь ,смотря ""Сияние"", не возникает понимание того,что представляет собой это место,а именно обладающее огромной силой пристанище духов, питающихся страхом и силами человека и делающих все,чтобы насытиться как можно больше.
Что действительно радует ,так это воплощения Джека Торренса и его жены Венди,созданные Джеком Николсоном и Шери Дюваль. Если честно, трудно представить человека,более подходящего на роль отца Денни, ведь Джек Николсон с его всеми коронной импровизацией до сих пор для всех является тем самым сошедшим с ума Джонни. Актеры на отлично справились с задачей сыграть пару,у которой далеко не все в порядке в браке.
Что касается концовки, то ее изменение можно понять, ведь технологии того времени не позволили бы снять мощнейший взрыв впечатляющего своими габаритами отеля, а поэтому финал картины, сотворенный Стенли Кубриком, получился логичным и не оставляющим ощущение незавершенности.
Правда,некоторые решения,в том числе убийство Дика Холлорана, отказ от демонстрации общения ""Оверлука"" с Дэнни и Диком,а также истинных способностей отеля весьма сомнительны в своей разумности и пользе для кино.
Подытожив вышесказанное, можно лишь добавить,что сам фильм,несмотря на расхождение с сюжетом книги, не является плохим. Напротив, картина получилась весьма достойной, интересной и интригующей, хотя ,будь она более схожа с романом Кинга, у зрителя образовалось бы более целостное представление о том, о чем эта история должна рассказать."	100132_0	no	yes	no	yes	neut	pos	neut	pos										
100092_1	"Как вы поняли, Сигурни Уивер спокойно вернулась к своей роли Рипли. В принципе интересный подход, и хорошо, что нам это объясняются сразу, что она клон, а не как в ""Обителе зла"" спустя 6 фильмов. Но как ни жаль, этой картине не получилось вдохнуть новую жизнь во франшизу. Если после оригинального фильма в последующих частях старались находить интересные истории и показывать их, то тут совершенно стандартный для космоса сюжет.

Одна некая команда привозит на корабль свой груз, который заказал командир того самого корабля. Именно здесь пытались воссоздать Рипли и чужих. И кто бы что ни говорил, что опасно держать пришельцев на корабле, всем наплевать, пока первые действительно не сбегают, и на корабле не начинается хаос. И героям картины придется объединиться, чтобы сбежать с зараженного корабля, но на их пути встанет новый вид чужого.

Теперь скажем о прекрасной половине фильма. Сигурни Уивер, снова в боевой форме спустя пять лет после прошлой части. Но она играет клона оригинальной Рипли. Но так как ДНК сохраняет память, она понемногу вспоминает некоторые моменты из своей прошлой жизни. Правда ко всему получила еще неплохую силу и связь с чужими. А вот Вайнона Райдер сыграла девушку, которая очень похожа характером на Рипли. Такую же боевую и не однозначную. Но ей будет чем вас удивить, и это будет интересно.

Фильм пойдет только для просмотра на интерес к вселенной чужих. Если же вы не фанат ни этой вселенной, ни жанров ужасы и фантастика, то не стоит на него тратить силы. Но тем не менее картина заслуживает быть частью этой франшизы."	100092_1	yes	yes	no	yes	neg	neg	neut	pos										
96136_1	"В две тысячи четырнадцатом году Гарет Эдвардс снял фильм «Годзилла», в котором засветились много хороших актеров. Это дуэт Элизабет Олсен и Аарон Тейлор-Джонсон, который через год во всю проявит себя с Джосом Уидоном во вторых «Мстителях». Это Брайан Кренстон, который ранее блистал в пяти сезонах сериала «Во все тяжкие» и Кен Ватанабе, который хорошо играл в две тысячи пятом у Нолана в его работе «Начало». Все они в «Годзилле» напрочь забудут о какой-либо актерской игре. И это один из тех случаев, когда игра актера напрямую зависит от режиссера, работающего с ним.

Под удар Эдвардса попали не только актеры, видна общая асинхронность всей съемочной группы. И композитор явно не понял, что от него хотят, так как его музыка постоянно «не в тему». И оператор, хороших сцен которого хватило только на трейлер. Так же и сценарист совершенно не справился – персонажи плоские и абсолютно никак не влияют на сюжет, а выполняют только повествовательную функцию, объясняя нам весь хаос, происходящий на экране.

Сама Годзилла со своим фирменным ревом не подвели, но в мешанине с недостатками и клешированностью происходящих событий никак не смогли вытянуть фильм на приемлимый уровень."	96136_1	yes	yes	yes	yes	neg	neg	neg	neg										
95029_0	"Красочный  и со спец эффектами.  Немного добавить  идей к сценарию (которого не наблюдается- просто симулятор для игры ),  а вернее его создать и получиться почти АВАТАР!!!!  Очень много зрелища для геймера в очень неплохом качестве ""ДУМ"", стрелялка. Фильм снимали: игроки играли, потом нарезали игру, смонтировали и таки выпустили мультфильм. Если поработают  с идеями, сценарием то посмотрю продолжение."	95029_0	yes	yes	no	yes	neut	pos	neut	neut										
103329_0	"Зачем-то наслушавшись и начитавшись вывалю и я своё бесценное мнение. Вставлю, так сказать, свои 5 копеек. Кстати, хороший фильм Копейка. Очень даже хороший. Горько фильм не очень хороший. Естественно, на мой авторитетный взгляд.

Честно скажу, что плохим я его тоже не назову. Внимание держит и вроде даже не скучно. Как бы псевдодокументальность, даже уместна. Герои вроде придуманы. Хотя, если заострить немного внимание, то сценарий довольно бестолковый, а актёры играют, хотя и ярко, но как-то истерично и периодически срывающийся в не или пере. Но это всё можно простить. Это же, по атмосфере как бы сатирическая трагикомедия. Образы могут быть утрированы и жесть допускается. Даже может быть не особо смешно. Предполагается же какая-то идея, так сказать вскрывающая язвы и высмеивающая.

И тут происходит фатальный сбой. оказывается, авторы отчаянно позиционируют фильм, как комедию. То есть, всё происходящее в фильме это юмор и это нормально. Но на самом то деле не смешно. И герои не особо симпатичны. Я бы назвал фильмы подобного рода, коих в российском кинематографе сейчас достаточно много — быдлосплотейшен. Кино про быдло. Оно конечно может быть разным, в том числе и драмой и комедией и сатирой.

В данном случае нам показывают комедию, без нотки сатиры. И от этого грустно. В плохом смысле."	103329_0	yes	yes	no	yes	neg	neg	neut	neg										
105921_0	"""Джей и молчаливый Боб наносят ответный удар"" - один из лучших фильмов неподражаемого Кевина Смита. Прекрасный актёрский состав, задорный, хоть и довольно жопносортирный юмор. Культовые персонажи. 

Для меня этот фильм является классикой - разобранной на цитаты, близкой и любимой. Было время, когда я мог синхронно озвучивать едва ли не все реплики героев этого кино. Понятное дело, что какой-нибудь ценитель артхауза, любитель глубокого психологического кино, масштабных полотен презрительно поворотит нос и скажет ""Всё с тобой ясно"" и, да, я признаю, что Джей и Молчаливый Боб весьма вульгарное, пошлое и непристойное кино с обилием грязного юмора, но это не важно. Важно то, что он невероятно талантлив и в своей нище является едва ли не уникальным. 

Кевин Смит специфический и неординарный режиссёр. Его смело можно отнести к плеяде людей, творчество которых может либо нравиться, либо вызывать стойкое отторжение, но никого не оставит равнодушным. Он самобытен и тем ценен. Более того не смотря на браваду и озорную подростковость его фильмов, все они в той или иной степени несут в себе философию, размышление о мире и людях, некую мораль, которая под час завёрнута в весьма специфическую обёртку. 

Посмотреть ""Джей и молчаливый Боб наносят ответный удар"" однозначно стоит, чтобы сформировать о нём своё мнение. Да, я уверен, что кто-то будет от него в восторге, как был в своё время я, а кто-то наоборот преисполнится отвращения, но все мы люди и, как известно, на вкус и цвет фломастеры разные - в одном я уверен - этот фильм не оставит равнодушным никого. 

Если же вам нравятся молодёжные комедии, отмороженный и местами чёрный юмор, запоминающиеся и яркие персонажи - вы точно не пожалеете потраченного на просмотр времени."	105921_0	yes	yes	no	yes	pos	pos	neut	pos										
96116_1	"<em>«Узнать, прочна ли твоя вера, можно только пройдя испытание»</em>
Родившийся в зоопарке, носящий имя числа, исповедующий три конфессии и выживший после крушения грузового судна Цимцум индус Пи Патель рассказывает <strong>удивительную историю своей жизни</strong> писателю Янну Мартелу. И венцом этого рассказа о духовной силе и вере становится долгое путешествие ещё мальчика Пи в одной шлюпке с бенгальским тигром Ричардом Паркером… 
 
<em>«Даже когда казалось, что Бог оставил меня, он был рядом»</em>
«Жизнь Пи» тайваньского режиссёра Энга Ли – та редкая экранизация, которую <strong>нельзя назвать засохшим деревом, что осталось от раскидистого и сочного баобаба-книги</strong> канадского писателя Янна Мартела. Режиссёр «Крадущегося тигра, затаившегося дракона» (2000), «Халка» (2003), «Горбатой горы» (2005) и других не менее известных картин лаконично, но без потери глубины переводит книгу в картинку и слегка дополняет скудную реальность в словах красочными чудесами природной жизни в кадре. От этого идея неотвратимости жизненного пути, веры и единства Бога букеровского призёра 2002 года Янна Мартела на экране приобретает ещё более одухотворённый характер. 
 
<em>«Вера – дом, в котором есть место для множества комнат»</em>
В частности книжные утомительные подробности о зоопарке или различных бассейнах, повадках животных или общении с духовными учителями, что раскрывают дальнейшую личность Пи, режиссёр сокращает до ненавязчивого предисловия к главному путешествию. А его естественные, но неудобосмотримые сопровождающие моменты из книги – наготу; язвы от солёной воды; затруднённое испражнение; то, как Пи ловит за своим спутником фекалии, чтобы утолить многодневный голод; встречу с таким же ослепшим странником в шлюпке с Цимцума; уважение перед территорией тигра и трусость перед штормом – заменяет на более уместные, красивые и понятные для кино сцены. Например, на оригинальную в упорстве борьбу Пи за математическое имя, до которой Янн Мартел своего героя не довёл. Или короткую, но красивую любовную линию. Приветствие Бога в природном гневе. Победу в борьбе за территорию соперника, на что книжный Пи так и не решился. Либо тактильный контакт между ослабевшим тигром и человеком на краю жизни. При этом важно, что режиссёр изменяет ровно те моменты, которые могут запутать или утомить зрителя. Но то, <strong>что могло обрести свои краски и усилить эмоциональный эффект, эффект внутреннего подъёма и восторга для читателя или просто зрителя, в этой экранизации происходит</strong>. И происходит под красивые индийские песнопения и завораживающий такт. 
 
<em>«Когда казалось, что Богу нет дела до моих страданий, он был рядом»</em>
Весь животный мир, бескрайний океан, тонущий корабль, невиданные ранее обитатели морских глубин,  шторм, таинственный остров по-Мартеловски, красота в естестве, грёзы героя и венец всего фильма – тигр с его величавыми повадками,<strong> с фантастической реалистичностью воссозданы с помощью графики</strong>. Настолько, что часто сомневаешься в подлоге. Однако известно, что настоящий тигр в гордом одиночестве только плавал в бассейне за пределами шлюпки. А главному актёру так и не пришлось работать в тандеме с опасным животным на борту: вместо него он гладил набитый мешок или отгонял другого актёра в специальном костюме с датчиками.  
 
<em>«При сомнениях вера не может закостенеть»</em>
Как минимум из-за этого ведущий актёр <strong>Сурадж Шарма</strong> тем более не кажется неопытным даже при придирчивом просмотре. Хотя команда Энга Ли в конечном счёте выбрала именно его из более чем 3 тысяч претендентов по роковому стечению обстоятельств. Шарма пришёл на кастинг, чтобы поддержать брата и даже не планировал ему соперничать на пробах, а просто подыгрывал. Противоположный эффект ощутил на себе Тоби Магуайер, несостоявшийся Янн Мартел на экране. Он был взят вместо Эндрю Гарфилда, но заменён на окончательную кандидатуру в лице <strong>Рейфа Сполла</strong> уже после проделанной работы. Режиссёр посчитал, что всё-таки не может использовать такого известного актёра, как Магуайер, в качестве второстепенного героя.  
 
 <em>«Он пробудил зло во мне, и мне с этим жить»</em>
Парадокс, но другой именитый актёр <strong>Жерар Депардье</strong> в этом фильме исполняет маленькую и весьма неприятную роль. Настолько, что кто-то смеётся, кто-то удивляется, а кто-то возмущается тем, что актёр с таким послужным списком и заслугами в кино удостоился подобного зловонного огрызка. Однако на личный взгляд в этом и кроется приём режиссёра. Этот незначительный герой за минуту своего времени должен был запомниться, врезаться в память, чтобы уже в самом конце ясно представиться во второй истории Пи. «Реальной» истории, которая, к сожалению, или, напротив, счастью, не получила визуального облачения. 
 
<em>«После этой истории Вы уверуете в Бога»</em>
«Сатурн» за лучший фэнтези-фильм. Высшая награда Британской академии за лучшую работу оператора и лучшие визуальные эффекты. Премия канала MTV за лучшую роль в стиле «Напуган до усрачки». «Золотой глобус» за лучший саундтрек. И «ОСКАР» за лучшего режиссёра, лучшую работу оператора, лучшие визуальные эффекты и лучший саундтрек. К этому добавляется восторг зрителей, взгляды которых этот фильм меняет даже без предыдущего прочтения книги. И поклон читателей, что находят в кино воплощение всех своих фантазий и размышлений. И всё потому, что тайваньский режиссёр <strong>Энг Ли сумел сам и заставил других</strong>, как гласит слоган фильма, <strong>«Поверить в невозможное»</strong>. Поверить в невероятную историю канадского писателя Янна Мартела под названием «Жизнь Пи» и уверовать в Бога."	96116_1	yes	no	no	yes	pos	neut	neut	pos										
100049_0	"Режиссерский и актерский вклад Клинта Иствуда в развитие киноиндустрии неоценим. В это сложно поверить, но ему уже 89 лет, а он еще остается на коне. На момент создания «Гран Торино» ему было почти восемьдесят, и уже тогда в это было сложно поверить. Но сейчас это меркнет перед тем, что видишь сейчас.
После «Гран Торино» он снял и снялся в качестве актера еще в несколько картинах. Все они также были подвержены успеху. Уже сейчас это как один из пунктов карьеры, но тогда это казалось выдающимся достижением и преодолением себя, что естественно смотрелось необычно. Сейчас по прошествии многих лет, это не только один из пунктов в жизни, но и фильм который вошел в списки лучших картин 2000-х.
Качество работы, даже посей день, остается на высочайшим уровне. Конечно, возможно многие отметят, что высоты качества не достичь на примере его предыдущих работ, таких как «Малышка на миллион», но «Американский снайпер» сумел доказать обратно и убедить всех скептиков, что возраст не помеха.
Для тех, кто любит творчество легендарного Клинта Иствуда – просмотр обязателен, впрочем, легко предположить, что это было бы и без напутствия. В остальном, фильм в любом случаи достоин внимания, не только для поклонников его творчества."	100049_0	yes	no	no	yes	pos	neut	neut	pos										
