INPUT:id	INPUT:text	OUTPUT:id	OUTPUT:plot	OUTPUT:image	OUTPUT:music	OUTPUT:actors	OUTPUT:plot_score	OUTPUT:image_score	OUTPUT:music_score	OUTPUT:actors_score	HINT:text
79667_0	"Ну неужели господа диснеевцы не понимали сами, что  ЕАЛЬНАЯ история принцессы Покахонтас и ее отношений с Джоном  ольфом как продолжение шедевра на тему истории Покахонтас и Джона Смита  это бред?

Нельзя же так! Диснеевская Покахонтас  это сказка, добрая сказка для детей, и ей и должна оставаться. Неужели о точном следовании фактам думали создатели первой части? Оно и не так нужно в данном случае, как доброта и поучительность, и оригинальный мультфильм вдосталь обладал и тем и другим. Поэтичность, искренность, красота и сила, душевность, ощущение единения с природой, преданности родине, любви  вот что отличало этот мультфильм, вот благодаря чему его помнят, и, видит Бог, будут помнить еще долго. Несмотря ни на какие отступления от истории. 

А тут, подумать только, Покахонтас, закрутившая новый роман, Джон Смит, для которого женщина, которой он клялся в вечной верности  не более чем приятное воспоминание из прошлого. Ужас? Тихий. Это надо, так отправить к чертям всю историю красивой любви, в которую хотелось верить, которая заставляла искренне сопереживать героям  свести ее к незначительному эпизоду в жизни Покахонтас и Джона. Слов нет. И для того только, чтобы подсунуть Покахонтас новую любовь  Джона  ольфа, за которым и была замужем настоящая индейская принцесса. Чтобы все было, как в истории. Не иначе, из-за того, что на сценарий, созданный хоть с какой-то фантазией и уважением, выкладываться не пожелали. А в каком свете это выставляет полюбившихся нам героев, создатели не подумали. Да и не хотели, судя по всему. 

Отважного и благородного Джона Смита тут жалко больше всех. С учетом того, что он появляется здесь только в самом начале и под конец, и того, насколько топорными и недоработанными вышли те немногие сцены со Смитом, что были, и того, что на смену храбрости и романтичности здесь пришла какое-то легкомыслие, ребячество и капризы  яснее ясного, что ровно никакого желания вводить его в сюжет создатели не имели. Да даже забыть обо всем вышеперечисленном  что мы видим?

В фильме нет ни одного удачного персонажа, ни одного по-настоящему красивого и запоминающегося музыкального номера, почти ни одной яркой эмоции. Фильм настолько примитивен и слаб, что я не знаю, как этого можно не заметить. Анимация настолько же плоха, насколько была прекрасна в первом фильме. Для саундтрека здесь зачем-то привлекли сразу трех композиторов, но потуги этой троицы, особенно после великолепной музыки Алана Менкена, просто смешны. Но, может, оно и правильно  разукрашивать подобную ересь красивыми картинками и звуками просто нет смысла.

Плюс балл за единственный эпизод в этом фильме, который еще получился  эпизод с травлей медведя во дворце. Действительно, хороший момент, сильный, даже первой части в какой-то степени достойный.  евущий от боли и ярости медведь, глумливый хохот отовсюду, ужас и омерзение Покахонтас, в общем, эмоционально сцена хороша. Но больше вспомнить решительно нечего. 

2 из 10"		yes	yes	yes	no	neg	neg	neg		
8251_2	"
Забавный, хотя и несколько дурацкий фильм о любви, мошенниках и простаках. Генри Фонда играет ну очень доверчивого сына миллионера Чарли, которого цепляет на крючок Джин, дочь пароходного шулера. Поначалу Чарльз интересен Джин только как добыча, дурачок, с которого можно стрясти хороший куш. По внезапно для себя она влюбляется по-настоящему. Но готов ли сын миллионера поверить в искренность чувств аферистки?

Барбара Стэнвик ну очень хороша. Она средняя актриса, но очень шикарная женщина, умеющая эффектно себя подать. Я опять смотрела на нее  и понимала, почему  оберт Тейлор  самый красивый мужчина в Голливуде  был горд и счастлив, когда она согласилась быть его женой  и говорил, что такая удача простым парням вроде него выпадает нечасто. В общем-то, Стэнвик и второстепенные актеры  оба папы и телохранитель Чарли  держат на себе весь фильм. Потому что Фонда играет такого непроходимого идиота, что даже его красота, к которой я чувствительна, блекнет на фоне нескольких однообразных выражений лица и бесконечных падений в очередной торт. Генри Фонда  отличный актер, конечно, но не в этом фильме, впрочем, милые идиоты из романтических комедий у людей его типа получаться и не должны. С ним лучше смотреть Мою дорогую Клементину или даже Сказки Манхеттена. А в подобной роли я предпочла бы видеть актера с большим чувством самоиронии. Джимии Стюарт вполне бы пошел:)

PS А еще хочу увидеть настоящую яркую пару для Стэнвик. С Купером мне не понравилось, герой войны в Коннектикуте для нее простоват, Фонда  слишком замороженный и не-светский. Интересно, а они с Тейлором где-то играли вместе?"		yes	no	no	yes	neut			neut	
86333_9	"
Фильм рассказывает нам о жизни создателя легендарных  оллинг Стоунс. О бесподобном Брайане Джонсе. Да еще как!

К сожалению сейчас мало кто вспомнит, кто был основателем этой легендарной группы. Всем хорошо известны Микк и Кит, но вот Брайан Да, умер он молодым и достаточно давно, но какой был талант!

Фильм повествует обо всем: о любви и сексе, о наркотиках и музыке, о дружбе и предательстве, вообщем то  о безумной жизни рокенрольщика! С первых ноток можно понять, что Stoned просто насыщен классной музыкой. А куда же без музыки про  олингов!?

Хочется отметить то, что Стивен Вули совершенно точно подобрал актеров к этому фильму. Лео Грегорри настолько справился со своей ролью, что видишь в нем самого Брайана! И Бен Уишоу в роли Кита  ичардса очень правдоподобен. 

В общем, всем кто любит  оллингов, да и вообще музыку, фильм определенно понравится! Люди должны знать историю.

10 из 10"		yes	no	yes	yes	pos		pos	pos	
81297_4	"
Чудеса в Боксе происходят тогда, когда нет сил, а ты все дерешься. Не смотря на сломанные ребра и отбитые почки. Чудеса случаются, когда ставишь всё на карту ради мечты, известной только тебе.

Я всегда только читала рецензии, и никогда не старалась их писать. Но этот фильм просто разорвал мое сердце на кусочки История девушки которая шла напролом, ни смотря ни на что. Чемпионки, именно с большой буквы. Персонаж Мэгги, настолько глубокий, она моментально вызывает симпатию. Этот фильм показывает, насколько несправедлива жизнь. Уходят лучшие. Кладбище забито людьми, без которых мир не может обойтись Хилари Суонк настолько гениальная актриса, что даже и не верится что это просто игра. 

Клинт Иствуд  лучший.

10 из 10"			no	no	yes			neut	pos	
68242_3	"
Всё в жизни бывает  дебютный фильм Карана Джохара, которым он доказал свой талант.

На первый взгляд  это типичная индийская мелодрама, снятая за миллион долларов и получившая успех на своей родине, но в этом фильме нам не показывают, как индийский мачо спасает свою индийскую принцессу, все счастливы и конец. Этот фильм показывает взаимоотношения людей, отношения отца к дочери, отношение мамы к сыну, парню к девушке и т. д. 

В фильме замечательный саундтрек, сцены с танцами к месту и не вызывают смеха, а заглавная песня к фильму вообще стала одной из самых узнаваемых в индийском кино и появлялась не раз в других фильмах.

Шах  укх Кхан хорошо сыграл отца и молодого студента, его герою действительно сопереживаешь. Каджол великолепно сыграла простую девушку, не понимающей ничего в любви.  ани Мукхерджи сыграла типичную девушку главного героя и сыграла хорошо. В фактах к этому фильму приводятся слова  ани Мукхерджи, которая сказала Карану Джохару  Я единственная, кто сможет сыграть эту роль,хотя я думаю, что в её роли ничего сложного не было. В фильме есть актёр Джонни Левер, который к удивлению не бесил своей ролью. Также хотелось бы сказать про Анупама Кхера, который играл директора, его герой  это такой наивный дурачок, который вызывает всегда улыбку и смех.

В целом фильм очень хороший и я не смог найти в нём каких-то значимых ошибок, рекомендую к просмотру.

10 из 10"		yes	no	yes	yes	pos		pos	pos	
66091_0	"Претендующая на забавность, но местами скучноватая комедия, в очередной раз эксплуатирующая тему дона Жуана. На этот раз вечного любовника ставят перед довольно жестким выбором, который он, впрочем, совершить не может, поскольку, по замыслу Залуского, лишен умения говорить нет в силу своей инфантильности и даже некоторой истеричности  перед нами предстает этакий мотылек, порхающий с одного цветка на другой, восхищающийся каждым из них, но забывающий обо всем, что привлекло его в цветке, едва только где-то неподалеку появляется новый. Перед выбором, однако, мотылька ставят именно цветки его недавнего прошлого и наполненного влюбленностями настоящего. Однажды они запирают его в своеобразном персональном цветнике, из которого мотылек Кароль всячески пытается выбраться, но, в силу упомянутых и отнюдь не мужественных черт, сделать этого не может, а заодно расстается с теми зачатками воли, которые в нем, наверное, сохранялись. В конце концов, неудачная попытка бегства из цветника приводит мотылька к физическим травмам, а главный цветок находит себе сразу несколько мотыльков Финал открыт для интерпретаций  смех Кароля может быть расценен и как радость осознания возможности лететь дальше, и как помешательство.

Подумалось сейчас, что если бы Андрей Павлович Бузыкин Георгия Данелии был во много раз глупее и начисто лишен интеллигентности, порядочности и нравственности, он, пожалуй, мог бы быть прототипом главного героя данного фильма  омана Залуского.

4 из 10"		yes	no	no	no	neut				
68478_0	"Что похитители обычно делают со своими жертвами? Обычно их насилуют, подвергают пыткам, заставляют решать головоломки, требуют выкуп. Всё это интересно пока замысел похитителя не разгадан, после градус внимания к сюжету начинает неуклонно опускаться. Пусть жертва отчаянно борется, или смиряется и становится игрушкой, но все эти трепыхания редко бывают интересны и ничего нового не привносят в сюжет.

В Идеальном образовании такого не наблюдается, я бы назвал его даже Идеальным похищением. Похищение оказалось удобной формой, для того чтоб свести вместе двух людей, которым иначе друг друга не узнать. 

Сюжет фильма так и норовит скатиться к фарсу: к этому располагают и смешные обитатели дома, и сама девушка своей детской непосредственностью, но главный герой вовремя выруливает в сторону драмы, у него непростая задача: идеальные взаимоотношения, как он видит их в соитии тел и душ в близости которая должна возникнуть без принуждения. 

За тем как зрелый мужчина преобразует похищенную старшеклассницу в идеальную любовницу и будем наблюдать, отбросив все подозрения в педофилии и жестоком обращении с девушкой. Позже можно будет убедиться, что героиня имеет свою волю и характер. Ну а если отношения пленницы и похитителя начнут напрягать, можно всегда переключится на соседей, они уж точно не дадут заскучать своими выходками.

В фильме есть музыка, обычно я на неё не обращаю внимания, но здесь она самая разная, подобранная по ситуации, начинает звучать незаметно, всегда в тему, и резко обрывается на смене кадра. Мне понравилось, как понравилась и игра Наото Такэнака (похититель): серьёзный, заботливый, страстный в конце фильма. Девушка как мне показалось вживалась в роль по ходу фильма, не сразу ей это удалось, но выразить появление той самой идеальной страсти получилось."			no	yes	yes			pos	pos	
70912_1	"
Фанфары любви  комедия, по сценарию которой, спустя восемь лет Билли Уайлдер создаст Некоторые любят погорячее (или, как там у нас,  В джазе только девушки). И чего же такого в этом фильме оригинального, непоказанного Уайлдером?

Во-первых, мы не увидели здесь мафиози. Так как на экране пред нами Западная Германия начала 50-х, а не США конца 20-х. 

Во-вторых, Ганс не только становиться Ганси, а Петер  Петрой. Ганс, влюбившись в очаровательную вокалистку из Весенних фиалок, вновь превращается в мужчину. На этот раз  в галантного композитора, дабы произвести нужное впечатление на девушку. А вот Петер, решив отомстить за вольную выходку своего друга, тоже переодевается в мужчину. Он  брат Петры, лихой и бесподобный. Вот только он и не догадывается с первых минут, что подружка очаровательной вокалистки положила на него глаз. И тут пошла кутерьма

В общем, картина очень веселая и милая. Крайне приятно смотреть и слушать ее в советском дубляже, который был сделан еще в 1958 году. 

9 из 10"		yes	no	no	no	pos				
70988_0	"Если вам нужно подлечить расшатанные жизнью нервы  нужно посмотреть комедию с участием Каришмы Капур и Говинды.

Вот люблю я эту пару. Они как правило, очень легкие, очень химичные и веселые. И комедии (за редким исключением) у них получались удачные. Этот фильм такой же  легкий, юморной. Онбыл в списке хитов 1997 года  кстати, все критики отмечают, что это был самый урожайный на хиты год. Задействованы в фильме, как уже понятно, Каришма Капур и Говинда, а также обожаемый мной Кадер Кхан, Шакти Капур (в эпизоде) и другие звезды второго плана, в частности, Пареш  аваль в роли главы чокнутой семейки Динанатх. Смутило лишь то, что Парешь на тот момент был приблизительно одного возраста со своими сыновьями-бездельниками. Но сценаристов это не смутило, добавили ему седины и дело с концом. 

Жанр комедия мне кажется не совсем верным, это скорее мелодрама с элементами комедии. Знаете, я отдыхала на этом фильме, потому что он очень красочный, песни все очень красивые, и сюжет не напрягает. Вечная история  сын  адж (Говя) сбегает от своего отца-тирана в поисках лучшей жизни и не куда-нибудь, а в Европу (потрясающие пейзажи обеспечены). Попутно он влюбляется в студентку Мину (Каришма Капур), которая путешествует со своей тетей (Химани Шивпури). Но девушка невзлюбила его с первого взгляда, и отношение ее меняется коренным образом только после того, как он спас ее из лап хулиганов. Но их брак невозможен из-за ссоры его отца и дедушки. Итак, перед героем N1 задача  жениться на любимой, а заодно навести шухер в семейных отношениях. Что герой Говинды с блеском и делает! 

Понравилось ну почти все: Говя с его улыбкой в 50 зубов, его отношения с отцом  как они в течение фильма меняются на почти диаметрально противоположные, Каря -трогательная очаровашка, Пареш понравился в образе гневливого, но доброго дедули. Кадер Кхан  сама отеческая любовь. Самая юморная сцена, на мой вгляд  это то, как  адж в машине напяливал на себя костюм поверх банного полотенца. Вообще Говя умеет в таких сценах сниматься так, что ухохатываешься. Ну а в образе слуги в доме Динанатхов Говинда просто неподражаем. Сыграл на 5 с плюсом.

Песни все очень красивые  потрясающие пейзажи на фоне швейцарских Альп, германских городов, французского Дисней-Лэнда. А по звучанию понравились`Hero N1, Mohabbat Ho Jaate Hai, Yeh Sharad Tum Hum Pe Marte Ho. Очень мило и профессионально поставлены, в сопровождении великолепной музыки. 

Так что советую всем для отдыха души и разгрузки мозгов.

9 из 10"		yes	yes	yes		pos				
7158_5	"
Картина Из породы беглецов разговорная драма с множеством громких фраз и красочных афоризмов. Тащить фильм должны игра Марлона Брандо и его двух ассистенток Анны Маньяни и Джоэнн Вудворд. Человек, проживший пол жизни в сфере развлечений и гуляний, решает изменить свою судьбу и отправляется в путешествие. Дождливой ночью он находит ночлег у местных жителей, с помощью нового знакомства у его появляется перспектива найти работу в магазине этого города. Там он и встречает героинь Лэди и Кэрол, между ими происходит химия, которую представляют зрителю. 

Игра признанных мастеров своего дела вышла весьма ярко, по мне так даже через чур. Их персонажи выглядят карикатурными и безжизненными. Змеиная кожа ни разу не из породы беглецов, трудно его сопоставить и к человеку с 15 летнего возраста живущим развлечениями. С первого появления на экране Валентин искрит излишний самоуверенностью, неким превосходством над остальными, философствует и идеализирует себя. Почему то авторы свели главного героя со всеми его достоинствами с двумя довольно таки скверными женщинами не предоставив мотива для этого. Персонаж не наделен человечностью. То же самое можно сказать и про персонажей Маньяни и Вудворд. Они очень яркие, такие же карикатурные, но совершено безжизненные. Почему или зачем они такие не разъясняется, для чего им Валентин и что более важно, для чего они Валентину. 

Неким злодеем в этом мрачном и жутком городе представлен хозяин магазина Джейб Торенс, но если давать объективную оценку его персонажу, его яркость объясняется и в нем можно разглядеть человека, по сути его подозрения подтвердились и если не брать в расчет последний его поступок персонажу можно посочувствовать. Второстепенные персонажи получили меньше внимания, но тоже успели с переменным успехом внести свой вклад. Музыкальное сопровождение не примечательно, большая часть сцен происходит в огромном магазине, та часть города, которая попадает на экран может подходить для типичного хоррора, где живут в основном сумасшедшие и люди почитающие насилие. 

3 из 10"			no	yes	yes			neut	pos	
